ListingKey,ListingNumber,ListingCreationDate,ListingCreationTime,AMPM,LoanStatus,ClosedDate,BorrowerAPR,BorrowerRate,LenderYield,EstimatedEffectiveYield,EstimatedLoss,EstimatedReturn,ProsperRating (numeric),ProsperRating (Alpha),ProsperScore,ListingCategory (numeric),BorrowerState,Occupation,EmploymentStatus,EmploymentStatusDuration,IsBorrowerHomeowner,CurrentlyInGroup,GroupKey,DateCreditPulled,CreditScoreRangeLower,CreditScoreRangeUpper,FirstRecordedCreditLine,CurrentCreditLines,OpenCreditLines,TotalCreditLinespast7years,OpenRevolvingAccounts,OpenRevolvingMonthlyPayment,InquiriesLast6Months,TotalInquiries,CurrentDelinquencies,AmountDelinquent,DelinquenciesLast7Years,PublicRecordsLast10Years,PublicRecordsLast12Months,RevolvingCreditBalance,BankcardUtilization,AvailableBankcardCredit,TotalTrades,TradesNeverDelinquent (percentage),TradesOpenedLast6Months,DebtToIncomeRatio,IncomeRange,IncomeVerifiable,StatedMonthlyIncome,LoanKey,TotalProsperLoans,TotalProsperPaymentsBilled,OnTimeProsperPayments,ProsperPaymentsLessThanOneMonthLate,ProsperPaymentsOneMonthPlusLate,ProsperPrincipalBorrowed,ProsperPrincipalOutstanding,ScorexChangeAtTimeOfListing,LoanCurrentDaysDelinquent,LoanFirstDefaultedCycleNumber,LoanMonthsSinceOrigination,LoanNumber,LoanOriginalAmount,LoanOriginationDate,LoanOriginationQuarter,MemberKey,MonthlyLoanPayment,LP_CustomerPayments,LP_CustomerPrincipalPayments,LP_InterestandFees,LP_ServiceFees,LP_CollectionFees,LP_GrossPrincipalLoss,LP_NetPrincipalLoss,LP_NonPrincipalRecoverypayments,PercentFunded,Recommendations,InvestmentFromFriendsCount,InvestmentFromFriendsAmount,Investors
1.06E+22,843206,7/18/13,5:09:06,AM,Past Due (16-30 days),,0.33286,0.2932,0.2832,0.2575,0.1425,0.115,2,E,2,7,NY,Other,Employed,47,FALSE,FALSE,,7/18/13 5:08,600,619,12/5/08 0:00,9,9,9,8,229,1,5,0,0,0,0,0,3726,0.76,535,9,0.88,1,0.12,"$50,000-74,999",TRUE,4166.666667,F0B13687249606394E0D30C,1,9,6,3,0,3000,2428.26,-71,19,,8,95823,4000,7/19/13 0:00,Q3 2013,2FFD35596994704013018EA,168.32,1006.7068,445.2,561.5068,-19.27,0,0,0,0,1,0,0,0,1
112A35420359988673C6984,571141,3/22/12,7:11:18,PM,Past Due (1-15 days),,0.33973,0.2999,0.2899,0.2766,0.149,0.1276,2,E,3,2,KY,Other,Other,111,FALSE,FALSE,,3/22/12 19:11,600,619,4/1/83 0:00,7,6,35,2,50,0,2,0,0,20,1,0,1424,0.94,76,27,0.72,2,0.41,"$1-24,999",TRUE,1835.416667,CD4136462469565703D9DAA,1,10,10,0,0,2000,1621.63,-41,11,,24,62579,2500,3/27/12 0:00,Q1 2012,06163510491201184074FDD,106.12,2244.64,1117.31,1127.33,-37.6,0,0,0,0,1,0,0,0,25
46203553164558514C5C5DA,613060,7/16/12,8:30:36,PM,Past Due (61-90 days),,0.16151,0.1385,0.1285,0.128,0.02,0.108,6,A,8,7,GA,Other,Employed,100,TRUE,FALSE,,7/16/12 20:30,720,739,9/13/01 0:00,10,10,24,8,290,0,2,0,0,0,0,0,9306,0.42,12594,19,1,1,0.32,"$25,000-49,999",TRUE,3666.666667,FAD136571272719595ADD46,1,7,7,0,0,10000,0,38,74,,20,71323,22500,7/26/12 0:00,Q3 2012,61DD3529374765725F0E218,521.79,8348.64,4565.37,3783.27,-273.17,0,0,0,0,1,0,0,0,353
020E3526008577032F83C13,528390,9/20/11,1:50:35,PM,Past Due (31-60 days),,0.13413,0.1129,0.1029,0.1026,0.026,0.0766,6,A,8,1,TN,Sales - Commission,Full-time,123,TRUE,FALSE,,9/20/11 13:50,700,719,8/28/95 0:00,14,13,45,10,432,0,5,0,0,0,0,0,37238,0.79,9421,40,0.95,0,0.17,"$100,000+",TRUE,10000,3D613631127316650FA2FEF,3,35,34,1,0,11500,1000.2,-27,40,,30,53882,13000,9/29/11 0:00,Q3 2011,060534176220742989AFB33,427.39,11597.27,9205.4,2391.87,-196.73,-247.89,0,0,0,1,1,0,0,188
35973537767842230ECA17A,556553,2/4/12,9:57:12,PM,Past Due (1-15 days),,0.2399,0.2024,0.1924,0.1879,0.085,0.1029,4,C,4,1,IL,Other,Employed,89,FALSE,FALSE,,2/4/12 21:57,680,699,5/1/92 0:00,7,4,31,3,54,1,6,0,0,15,1,0,0,0,0,24,0.69,1,0.17,"$25,000-49,999",TRUE,2634.666667,031B36421629681657AB107,2,22,22,0,0,4000,2387.42,21,3,,25,60093,3000,2/7/12 0:00,Q1 2012,C88B340740823732424B564,111.86,2669.64,1773.74,895.9,-42.74,0,0,0,0,1,0,0,0,20
0A043582554436102ECB10E,819622,6/23/13,10:44:41,PM,Past Due (1-15 days),,0.31293,0.2862,0.2762,0.2519,0.1275,0.1244,2,E,6,15,GA,Police Officer/Correction Officer,Employed,103,FALSE,FALSE,,6/23/13 22:44,620,639,7/1/71 0:00,3,3,31,2,38,0,5,17,1845,36,1,0,0,0,16500,19,0.45,0,0.05,"$75,000-99,999",TRUE,7273.166667,D08D36852966529355839B1,1,10,7,3,0,3000,2492.4,-86,12,,9,94145,4000,6/26/13 0:00,Q2 2013,1.98E+22,126.04,879.1436,191.7,687.4436,-8.89,-42.86,0,0,0,1,0,0,0,1
44D0357906158016410A702,781065,5/16/13,3:37:02,AM,FinalPaymentInProgress,,0.27285,0.2346,0.2246,0.2064,0.1025,0.1039,3,D,2,19,CA,Other,Employed,153,FALSE,FALSE,,5/16/13 3:36,660,679,8/8/07 0:00,4,4,5,3,140,0,2,0,0,0,0,0,3225,0.56,2475,5,1,1,0.32,"$25,000-49,999",TRUE,2083.333333,33DB3682712510717ADA1CB,1,8,8,0,0,4000,975.55,-49,0,,10,90564,4000,5/20/13 0:00,Q2 2013,8FBF355609800905495188F,155.8,3227.8,2799.79,428.01,-18.23,0,0,0,0,1,0,0,0,17
027D3517562142059A8FDC8,509123,5/29/11,5:19:25,AM,Past Due (1-15 days),,0.29371,0.2699,0.2599,0.2534,0.1,0.1534,3,D,5,1,GA,Analyst,Employed,43,TRUE,FALSE,,5/29/11 5:19,620,639,6/14/00 0:00,17,17,50,12,414,0,8,0,0,1,0,0,15848,0.64,7674,30,0.7,1,0.25,"$50,000-74,999",TRUE,6064.583333,727936231036866644FAB9D,1,20,20,0,0,6000,3206.55,-87,10,,33,50667,15000,6/29/11 0:00,Q2 2011,FDCE34624846368157549DB,457.94,14242.74,5021.8,9220.94,-247.89,-702.52,0,0,0,1,0,0,0,266
036D35828110680794E5213,835929,7/11/13,5:52:51,PM,Past Due (16-30 days),,0.35356,0.3134,0.3034,0.276,0.1575,0.1185,1,HR,3,1,OH,Teacher,Employed,58,FALSE,FALSE,,7/8/13 16:28,620,639,7/25/00 0:00,12,11,35,7,305,1,7,0,0,0,1,1,7104,1.13,7,28,0.89,0,0.69,"$25,000-49,999",TRUE,2500,C2633687431614842C9C64C,2,23,17,6,0,22500,12628.63,-16,23,,8,95546,4000,7/15/13 0:00,Q3 2013,965A3516712769778BADFB1,172.76,1033.3655,342.86,690.5055,-16.63,-29.37,0,0,0,1,0,0,0,1
47B33584303707552198965,843856,7/18/13,2:39:45,AM,Past Due (91-120 days),,0.2878,0.2492,0.2392,0.219,0.1125,0.1065,3,D,7,1,IN,Retail Management,Employed,109,TRUE,FALSE,,7/7/13 16:10,620,639,5/14/02 0:00,14,13,24,11,470,0,7,1,0,5,1,0,11154,0.96,343,21,1,1,0.47,"$25,000-49,999",TRUE,2333.333333,C88C3687008073152A174E2,2,32,32,0,0,7000,2945.87,0,111,,8,96116,4000,7/19/13 0:00,Q3 2013,76813516027727619CC83FB,158.87,473.879,230,243.879,-9.89,0,0,0,0,1,0,0,0,1
